day,A,ABC,ABMD,ABT
19/09/2019,78.06999969,84.62999725,192.3200073,83.23000336
20/09/2019,77.97000122,85.12000275,192.7599945,83.58000183
23/09/2019,78.05999756,83.84999847,186.0099945,83.16000366
24/09/2019,75.97000122,82.69999695,184.3500061,82.44000244
25/09/2019,76.33000183,83.23000336,185.2799988,82.86000061
26/09/2019,76.51999664,82,177.6499939,82.66000366
27/09/2019,76.38999939,80.94000244,175.8899994,81.83999634
30/09/2019,76.62999725,82.33000183,177.8899994,83.66999817
01/10/2019,74.83999634,82.12000275,170.2100067,81.83999634
02/10/2019,73.34999847,80.98000336,163.3899994,79.52999878
03/10/2019,73.87000275,81.33999634,167.0299988,81.06999969
04/10/2019,75.87999725,81.84999847,169.25,81.98999786
07/10/2019,75.09999847,81.86000061,164.4299927,81.04000092
08/10/2019,72.48999786,80.16999817,159.4900055,78.51000214
09/10/2019,73.47000122,80.37000275,159.3099976,79.5
10/10/2019,74,80.81999969,162.3399963,80.13999939
11/10/2019,75.30000305,81.95999908,169.6399994,79.62999725
14/10/2019,75.18000031,81.58000183,176.5099945,79.81999969
15/10/2019,75.75,83.19999695,177.8699951,81.98000336
16/10/2019,75.26999664,86.05000305,178.6699982,81.77999878
17/10/2019,74.91999817,89.5,176.5200043,82.37999725
18/10/2019,74.56999969,89.63999939,175.3000031,82.79000092
21/10/2019,75.48000336,86.66000366,175.9700012,81.65000153
22/10/2019,74.69000244,86.05999756,170.8300018,80.54000092
23/10/2019,74.98000336,85.65000153,178.7299957,81.26999664
24/10/2019,75,85.98000336,179.9600067,81.36000061
25/10/2019,75.38999939,86.80000305,182.3399963,81.65000153
28/10/2019,76.15000153,87.38999939,183.9100037,82.66000366
29/10/2019,76.16999817,88.87000275,184.9499969,83.44999695
30/10/2019,76.12000275,85.84999847,181.7700043,84.01000214
31/10/2019,75.75,85.37999725,207.5800018,83.61000061
01/11/2019,76.97000122,86.87000275,216.7899933,82.66000366
04/11/2019,76.73999786,87.5,220.4199982,82.22000122
05/11/2019,75.55000305,86.12999725,217.5399933,82.33999634
06/11/2019,75.79000092,84.70999908,214.6100006,83.12000275
07/11/2019,75.91000366,84.08000183,219.1300049,83.38999939
08/11/2019,76.63999939,86.06999969,219.6199951,83.73999786
11/11/2019,76.84999847,84.04000092,220.0800018,83.76000214
12/11/2019,77.05000305,85.54000092,223.5399933,84.33999634
13/11/2019,77.16000366,86.08999634,220.0099945,84.22000122
